rok,miejscowość,data,pm25_dobowe
2021,Katowice,2021-01-01,37.78864565217391
2021,Katowice,2021-01-02,66.16667291666667
2021,Katowice,2021-01-03,78.57637708333333
2021,Katowice,2021-01-04,67.18656875
2021,Katowice,2021-01-05,22.44849268292683
2021,Katowice,2021-01-06,40.495975
2021,Katowice,2021-01-07,30.689808333333332
2021,Katowice,2021-01-08,30.1485125
2021,Katowice,2021-01-09,32.75371875
2021,Katowice,2021-01-10,67.32507916666667
2021,Katowice,2021-01-11,98.74416874999999
2021,Katowice,2021-01-12,21.38038333333333
2021,Katowice,2021-01-13,24.458222083333336
2021,Katowice,2021-01-14,25.27773125
2021,Katowice,2021-01-15,30.566093750000004
2021,Katowice,2021-01-16,23.084443750000002
2021,Katowice,2021-01-17,45.63515208333333
2021,Katowice,2021-01-18,62.871435416666664
2021,Katowice,2021-01-19,31.4416125
2021,Katowice,2021-01-20,22.663402916666666
2021,Katowice,2021-01-21,23.390762291666665
2021,Katowice,2021-01-22,18.663493541666668
2021,Katowice,2021-01-23,19.510341666666665
2021,Katowice,2021-01-24,25.564224999999997
2021,Katowice,2021-01-25,28.057114583333334
2021,Katowice,2021-01-26,34.10561666666667
2021,Katowice,2021-01-27,35.45956458333333
2021,Katowice,2021-01-28,40.976975
2021,Katowice,2021-01-29,33.088986041666665
2021,Katowice,2021-01-30,38.51807291666667
2021,Katowice,2021-01-31,37.722545833333335
2021,Katowice,2021-02-01,56.51973958333334
2021,Katowice,2021-02-02,47.94142083333333
2021,Katowice,2021-02-03,26.922362500000002
2021,Katowice,2021-02-04,22.412399166666663
2021,Katowice,2021-02-05,39.20984791666667
2021,Katowice,2021-02-06,25.76295208333333
2021,Katowice,2021-02-07,25.082460416666667
2021,Katowice,2021-02-08,39.09200833333333
2021,Katowice,2021-02-09,86.81690833333333
2021,Katowice,2021-02-10,97.60390208333332
2021,Katowice,2021-02-11,48.2064125
2021,Katowice,2021-02-12,52.314202083333335
2021,Katowice,2021-02-13,43.45023125
2021,Katowice,2021-02-14,32.26192708333333
2021,Katowice,2021-02-15,60.549025
2021,Katowice,2021-02-16,57.935008333333336
2021,Katowice,2021-02-17,37.26105208333333
2021,Katowice,2021-02-18,42.3923625
2021,Katowice,2021-02-19,51.196441666666665
2021,Katowice,2021-02-20,53.76489541666667
2021,Katowice,2021-02-21,57.54199166666667
2021,Katowice,2021-02-22,62.29056666666667
2021,Katowice,2021-02-23,62.444968749999994
2021,Katowice,2021-02-24,61.04035
2021,Katowice,2021-02-25,51.2778625
2021,Katowice,2021-02-26,38.60101458333333
2021,Katowice,2021-02-27,20.57978125
2021,Katowice,2021-02-28,23.438045833333334
2021,Katowice,2021-03-01,30.947933333333335
2021,Katowice,2021-03-02,49.13086041666667
2021,Katowice,2021-03-03,45.864312500000004
2021,Katowice,2021-03-04,52.20579166666667
2021,Katowice,2021-03-05,25.119995625
2021,Katowice,2021-03-06,31.180034375
2021,Katowice,2021-03-07,31.68160625
2021,Katowice,2021-03-08,32.558272708333334
2021,Katowice,2021-03-09,62.592789583333335
2021,Katowice,2021-03-10,44.15811875
2021,Katowice,2021-03-11,37.60491666666667
2021,Katowice,2021-03-12,18.951448125
2021,Katowice,2021-03-13,11.566912083333333
2021,Katowice,2021-03-14,11.536307916666667
2021,Katowice,2021-03-15,30.844417500000002
2021,Katowice,2021-03-16,59.40388333333333
2021,Katowice,2021-03-17,22.17188541666667
2021,Katowice,2021-03-18,27.858732708333335
2021,Katowice,2021-03-19,49.41943125
2021,Katowice,2021-03-20,20.404782708333332
2021,Katowice,2021-03-21,34.55845
2021,Katowice,2021-03-22,27.723207708333334
