stacja,rok,miejscowość,ilość przekroczeń
MzWarAlNiepo,2021,Warszawa,224
MzWarBajkowa,2021,Warszawa,169
MzWarChrosci,2021,Warszawa,165
MzWarTolstoj,2021,Warszawa,178
MzWarWokalna,2021,Warszawa,151
SlKatoKossut,2021,Katowice,214
SlKatoPlebA4,2021,Katowice,276
