stacja,rok,miejscowość,ilość przekroczeń
MzWarAlNiepo,2019,Warszawa,299
MzWarBajkowa,2019,Warszawa,198
MzWarChrosci,2019,Warszawa,195
MzWarKondrat,2019,Warszawa,158
MzWarTolstoj,2019,Warszawa,202
MzWarWokalna,2019,Warszawa,154
SlKatoKossut,2019,Katowice,213
