PMID,Title,Year,Journal,Authors,Query
30934830,"The Relationship between Daily Concentration of Fine Particulate Matter in Ambient Air and Exacerbation of Respiratory Diseases in Silesian Agglomeration, Poland.",2019,International journal of environmental research and public health,"Kowalska M, Skrzypek M, Kowalski M, Cyrys J, Ewa N, Czech E","""PM2.5""[TIAB]"
30887956,[The usefulness of an optical monitor for the assessment of human exposure to fine dust in indoor air].,2019,Medycyna pracy,"Kowalska M, Mainka A, Mucha W","""PM2.5""[TIAB]"
31132267,Global Effect Factors for Exposure to Fine Particulate Matter.,2019,Environmental science & technology,"Fantke P, McKone TE, Tainio M, Jolliet O, Apte JS, Stylianou KS, Illner N, Marshall JD, Choma EF, Evans JS","""fine particulate matter""[TIAB]"
